Waterbody,Season,Site,Date (dd-MM-yy),Method,Species,Total Length (mm),Fork Length (mm),Weight (g)
Karel Creek,Summer,KC-EXP,11-07-23,EF,BURB,186,,31
Karel Creek,Summer,KC-EXP,11-07-23,EF,YLPR,159,152,51
Karel Creek,Summer,KC-EXP,11-07-23,EF,YLPR,140,135,24
Karel Creek,Summer,KC-EXP,11-07-23,EF,YLPR,125,119,23.5
Karel Creek,Summer,KC-EXP,11-07-23,EF,WHSC,114,108,14.5
Karel Creek,Summer,KC-EXP,11-07-23,EF,WHSC,121,115,19
Karel Creek,Summer,KC-EXP,11-07-23,EF,WHSC,108,102,12.5
Sunday Creek,Summer,SunC-EXP,08-07-23,EF,WALL,53,48,1.28
Sunday Creek,Summer,SunC-EXP,08-07-23,EF,LKCH,65,59,2.19
Sunday Creek,Summer,SunC-EXP,08-07-23,EF,BURB,53,,9.4
Sunday Creek,Summer,SunC-EXP,08-07-23,EF,LKCH,28,27,0.21
Sunday Creek,Summer,SunC-EXP,08-07-23,EF,BURB,155,,26.06
Sunday Creek,Summer,SunC-EXP,08-07-23,EF,LKCH,32,29,0.2
Sunday Creek,Summer,SunC-EXP,08-07-23,GN,NRPK,365,341,325
Sunday Creek,Summer,SunC-EXP,08-07-23,GN,NRPK,560,542,1010
Sunday Creek,Summer,SunC-EXP,08-07-23,GN,NRPK,78,,420
Sunday Creek,Summer,SunC-EXP,08-07-23,GN,NRPK,430,415,520
Sunday Creek,Summer,SunC-EXP,08-07-23,GN,NRPK,334,311,240
Sunday Creek,Summer,SunC-EXP,08-07-23,GN,BRTR,415,391,700
Sunday Creek,Summer,SunC-EXP,08-07-23,GN,BRTR,335,220,380
Sunday Creek,Summer,SunC-EXP,08-07-23,GN,BRTR,405,390,700
Sunday Creek,Summer,SunC-EXP,08-07-23,GN,CRCH,290,252,280
Sunday Creek,Summer,SunC-EXP,08-07-23,HN,NRPK,84,79,2.9
Sunday Creek,Summer,SunC-EXP,09-07-23,GN,NRPK,396,371,425
Sunday Creek,Summer,SunC-EXP,09-07-23,GN,NRPK,554,252,830
Sunday Creek,Summer,SunC-EXP,09-07-23,GN,NRPK,315,295,194
Sunday Creek,Summer,SunC-EXP,09-07-23,GN,NRPK,202,189,59.2
Sunday Creek,Summer,SunC-EXP,09-07-23,GN,WALL,334,325,395
Sunday Creek,Summer,SunC-EXP,09-07-23,GN,WALL,368,346,490
Sunday Creek,Summer,SunC-EXP,09-07-23,GN,CRCH,273,249,26
Sunday Creek,Summer,SunC-EXP,09-07-23,HN,NRPK,91,84,4.3
Sunday Creek,Summer,SunC-EXP,09-07-23,HN,WHSC,41,39,0.4
Sunday Creek,Summer,SunC-EXP,09-07-23,SN,NRPK,93,87,4.4
Sunday Creek,Summer,SunC-EXP,09-07-23,SN,NRPK,98,90,5.8
Sunday Creek,Summer,SunC-EXP,09-07-23,SN,NRPK,102,96,6.4
Sunday Creek,Summer,SunC-EXP,09-07-23,SN,WHSC,35,33,0.719230769
Sunday Creek,Summer,SunC-EXP,09-07-23,SN,WHSC,36,34,0.719230769
Sunday Creek,Summer,SunC-EXP,09-07-23,SN,WHSC,37,35,0.719230769
Sunday Creek,Summer,SunC-EXP,09-07-23,SN,WHSC,38,36,0.719230769
Sunday Creek,Summer,SunC-EXP,09-07-23,SN,WHSC,39,37,0.719230769
Sunday Creek,Summer,SunC-EXP,09-07-23,SN,WHSC,40,38,0.719230769
Sunday Creek,Summer,SunC-EXP,09-07-23,SN,WHSC,35,33,0.719230769
Sunday Creek,Summer,SunC-EXP,09-07-23,SN,WHSC,36,34,0.719230769
Sunday Creek,Summer,SunC-EXP,09-07-23,SN,WHSC,37,35,0.719230769
Sunday Creek,Summer,SunC-EXP,09-07-23,SN,WHSC,38,36,0.719230769
Sunday Creek,Summer,SunC-EXP,09-07-23,SN,WHSC,39,37,0.719230769
Sunday Creek,Summer,SunC-EXP,09-07-23,SN,WHSC,40,38,0.719230769
Sunday Creek,Summer,SunC-EXP,09-07-23,SN,WHSC,35,33,0.719230769
Sunday Creek,Summer,SunC-EXP,09-07-23,SN,NRPK,70,65,1.9
Sunday Creek,Summer,SunC-EXP,09-07-23,SN,NRPK,99,94,5.8
